기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수
20211,D,발달상권,3120070,한성대입구역,CS300009,청과상,3,3,0,0,0,0,0
20211,A,골목상권,3110300,삼선동주민센터,CS300021,문구,2,3,0,0,0,0,1
20211,A,골목상권,3110333,돌곶이역 5번,CS300001,슈퍼마켓,4,4,0,0,0,0,0
20211,D,발달상권,3120075,월곡역,CS100006,패스트푸드점,7,11,9,1,0,0,4
20211,A,골목상권,3110334,석관중앙교회,CS300022,화장품,4,4,25,1,0,0,0
20211,A,골목상권,3110336,석관고등학교,CS200026,자동차미용,1,1,0,0,0,0,0
20211,A,골목상권,3110278,망우본동주민센터,CS200023,통신기기수리,1,1,0,0,0,0,0
20211,A,골목상권,3110243,중랑노인종합복지관,CS200043,건축물청소,1,1,0,0,0,0,0
20211,A,골목상권,3110256,면목2동체육관,CS200046,의류임대,1,1,0,0,0,0,0
20211,A,골목상권,3110219,삼육보건대학교,CS300039,모터사이클및부품,1,1,0,0,0,0,0
20211,A,골목상권,3110259,사가정역 1번,CS300004,핸드폰,1,1,0,0,0,0,0
20211,R,전통시장,3130112,사가정시장,CS300043,전자상거래업,12,12,8,1,0,0,0
20211,A,골목상권,3110269,용마문화복지센터,CS300043,전자상거래업,8,8,25,2,0,0,0
20211,A,골목상권,3110246,월드순복음교회,CS200010,변호사사무소,1,1,0,0,0,0,0
20211,A,골목상권,3110242,면목5동주민센터,CS300022,화장품,1,1,0,0,0,0,0
20211,R,전통시장,3130106,중랑동부시장,CS300031,가구,3,3,0,0,0,0,0
20211,A,골목상권,3110256,면목2동체육관,CS200027,모터사이클수리,1,1,0,0,0,0,0
20211,R,전통시장,3130112,사가정시장,CS300031,가구,1,1,0,0,0,0,0
20211,A,골목상권,3110269,용마문화복지센터,CS300015,가방,1,1,0,0,0,0,0
20211,D,발달상권,3120077,미아역,CS200033,부동산중개업,26,26,8,2,0,0,0
20211,A,골목상권,3110258,면동초등학교,CS300008,수산물판매,2,2,0,0,0,0,0
20211,R,전통시장,3130109,묵1동도깨비시장,CS300007,육류판매,2,2,0,0,0,0,0
20211,A,골목상권,3110247,먹골역 1번,CS200008,한의원,1,1,0,0,0,0,0
20211,A,골목상권,3110365,미아역 5번,CS300043,전자상거래업,29,29,17,5,0,0,0
20211,D,발달상권,3120076,수유역,CS300021,문구,7,7,0,0,0,0,0
20211,A,골목상권,3110369,성신여대운정그린캠퍼스,CS200042,통번역서비스,1,1,0,0,0,0,0
20211,R,전통시장,3130141,강북북부골목시장,CS200031,세탁소,1,1,0,0,0,0,0
20211,A,골목상권,3110376,수송초등학교,CS200001,일반교습학원,7,8,0,0,0,0,1
20211,A,골목상권,3110315,종암아이파크2차,CS200021,기타오락장,1,1,0,0,0,0,0
20211,A,골목상권,3110314,종암경찰서,CS300041,예술품,1,1,0,0,0,0,0
20211,R,전통시장,3130142,강북북부시장,CS300035,인테리어,1,1,0,0,0,0,0
20211,A,골목상권,3110315,종암아이파크2차,CS200022,복권방,2,2,0,0,0,0,0
20211,A,골목상권,3110315,종암아이파크2차,CS200024,스포츠클럽,1,1,0,0,0,0,0
20211,A,골목상권,3110314,종암경찰서,CS200041,사진관,1,1,0,0,0,0,0
20211,A,골목상권,3110358,인수동 우편취급국,CS300043,전자상거래업,11,11,0,0,0,0,0
20211,A,골목상권,3110366,광산사거리,CS100003,일식음식점,1,1,0,0,0,0,0
20211,A,골목상권,3110366,광산사거리,CS300009,청과상,10,10,10,1,10,1,0
20211,R,전통시장,3130139,강북종합전통시장(강북종합골목시장),CS200037,노래방,37,38,3,1,5,2,1
20211,A,골목상권,3110351,수유북부시장옆,CS100001,한식음식점,9,9,11,1,11,1,0
20211,R,전통시장,3130134,"솔샘시장(미아6,7동골목시장)",CS100002,중식음식점,1,1,0,0,0,0,0
20211,D,발달상권,3120078,미아사거리역,CS200026,자동차미용,1,1,0,0,0,0,0
20211,D,발달상권,3120078,미아사거리역,CS200024,스포츠클럽,1,1,0,0,0,0,0
20211,R,전통시장,3130133,우이골목시장(우이시장),CS300011,일반의류,4,4,25,1,0,0,0
20211,A,골목상권,3110367,강북구청,CS100010,커피-음료,5,6,0,0,0,0,1
20211,A,골목상권,3110358,인수동 우편취급국,CS100008,분식전문점,2,3,33,1,0,0,1
20211,R,전통시장,3130148,방학동도깨비시장,CS100010,커피-음료,2,4,0,0,0,0,2
20211,R,전통시장,3130148,방학동도깨비시장,CS200003,예술학원,1,1,0,0,0,0,0
20211,A,골목상권,3110359,수유시장옆,CS200025,자동차수리,2,2,0,0,0,0,0
20211,A,골목상권,3110359,수유시장옆,CS100002,중식음식점,2,2,0,0,0,0,0
20211,A,골목상권,3110360,수유초등학교,CS300021,문구,1,1,0,0,0,0,0
20211,A,골목상권,3110402,도봉구 정병원,CS100010,커피-음료,4,5,0,0,0,0,1
20211,A,골목상권,3110362,우이천 계성교,CS200034,여관,1,1,0,0,0,0,0
20211,A,골목상권,3110356,덕수교,CS200005,스포츠 강습,1,1,0,0,0,0,0
20211,A,골목상권,3110359,수유시장옆,CS300038,자동차부품,1,1,0,0,0,0,0
20211,D,발달상권,3120077,미아역,CS200036,고시원,2,2,0,0,0,0,0
20211,R,전통시장,3130129,장미원골목시장,CS300043,전자상거래업,10,10,10,1,0,0,0
20211,D,발달상권,3120075,월곡역,CS300007,육류판매,2,2,0,0,0,0,0
20211,A,골목상권,3110283,성북초등학교앞,CS300031,가구,1,1,0,0,0,0,0
20211,A,골목상권,3110335,석계역 7번,CS300016,안경,1,2,0,0,0,0,1
